,Zipcode,Latitude,Longitude,Address,prices,time
0,,,,,$ 5.00,
0,69696969,,,,$196,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,42219855,,,,$545,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,$5,
0,60628,-87.6243,41.6934,,$51.07,
0,,,,,,
0,33141,-80.1446,25.8486,300 72th Street,,10:53 PM
0,,,,,,
0,,,,,,
0,6604496,,,"3 PINTA 4 nia
cir)",,
0,58103,-96.8123,46.8564,9350 45th st,$20,09:06 PM
0,,,,,,
0,,,,0 dave,,
0,,,,,,
0,,,,,,
0,,,,,,
0,310208079,,,,,03:00PM
0,50026,-94.4415,41.8341,,,9:21
0,,,,,,
0,412017,,,,$49.68,
0,,,,,,
0,,,,,,
0,,,,,$4,
0,98062,-122.3621,47.4693,,,5:29
0,,,,,,
0,,,,,,
0,64122,,,1 ORD,,12:25
0,,,,,$912,
0,,,,,$3.5,
0,,,,,$28.98,
0,,,,,,
0,42135401,,,,,13:52
0,60169,-88.1065,42.0493,,,
0,,,,,,
0,60620,-87.6543,41.7411,,,5:35
0,,,,,,
0,98122,-122.3056,47.6116,,,
0,,,,5165 15 ast,$5.12,
0,,,,,,
0,18301,-75.1735,41.0367,,$50.00,
0,197089,,,"7089 return
eriod on almost",,
0,,,,,,
0,,,,,,
0,12649,,,,$ 11,
0,,,,,,
0,84770,-113.5841,37.1041,,$14.48,01:30PM
0,006606,,,,$00,
0,,,,,,
0,499244,,,,,8:43
0,1065860,,,2018 Save,$6.15,9:32
0,,,,,$5.4,
0,,,,,,22:16
0,,,,,$4.00,
0,,,,,,
0,35001,,,,,6:10
0,201902221,,,465 Joo Chiat Road,,12:44
0,82088,,,,$6,03:27
0,,,,,,
0,,,,00 PAN DE CRIST,,
0,,,,,,
0,,,,,,
0,90266,-118.3996,33.8896,1800 Rosecrans Ave,,
0,92651,-117.7813,33.5429,361 Cliff Drive,,
0,14555,-76.9835,43.2546,,,
0,74908,,,,,19:23
0,,,,,,5:26
0,,,,,$00,
0,073700512,,,,,8:48
0,,,,,,16:17
0,,,,,$12.5,
0,19880440,,,,$-010117081,
0,,,,,$9.00,05:47
0,60082,-87.8121,42.1164,,$ 3.7,3:16
0,434521475,,,,,12:43
0,10359,,,,,8:42
0,240442044,,,,,
0,,,,"12 Gerrard Street,",,
0,23910,,,,$17.07,
0,,,,,,
0,20205,,,,,07:13
0,,,,,,
0,,,,,$19.04,
0,,,,,,
0,1016610,,,,,7:55PM
0,,,,,$5.00,
0,68600,,,,,21:36
0,,,,,,
0,,,,,,
0,8896862,,,681 SUNRISE AVE,$3.89,5:57PM
0,,,,,,
0,78000,,,,,13:27
0,75101,-96.703,32.2731,,$7.89,9:36 PM
0,99433-5040,,,"333 5214
Frangact",$90,
0,11941,-72.7283,40.8297,1941 Bi Road,$37.00,37:00
0,,,,"00 ow
1 SIERRA MIST",,
0,,,,,$14.98,
0,,,,1 PERFECT,,07:28
0,,,,,$6,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,400001,,,,,17:34
0,,,,,,
0,60622,-87.6779,41.9019,,$5.00,10:23 AM
0,,,,,,
0,11066,,,,,
0,,,,"660 461
TAX INVOICE
ORD",,14:14
0,000842,,,,,
0,,,,"7 days
Merchandise must",$47.98,1:17
0,,,,,,
0,,,,,,
0,10264,,,,,1:09
0,17543,-76.3015,40.1846,,$ 6.19,19:48
0,33000,,,,,20:52
0,,,,,,
0,76701,-97.1396,31.5525,2083 Credit Card:,$3,12:17
0,,,,,,
0,1911111,,,,,
0,,,,,,8:56
0,75015,-96.9722,32.8987,,,
0,91764,-117.6254,34.0763,405 W Vineyard,$4.9,4:54
0,,,,,,
0,,,,,,
0,128809,,,,$5.28,
0,099390,,,,$ 11,
0,,,,,,
0,005037570,,,,,19:49
0,96734,-157.7448,21.4063,1247 Kailua Road,,12:47
0,,,,,,
0,03518-17,,,"7326 he
CARD",,10:22 aM
0,123456789,,,,$9.60,3:44 PM
0,979114,,,,,
0,94103,-122.4147,37.7725,,$6,
0,,,,,,
0,,,,,,
0,,,,,,
0,55555,,,,$5.00,11:37
0,01720,-71.4483,42.4751,,,
0,,,,,,
0,000566,,,,$207,6:29
0,,,,,$9,
0,,,,,,
0,800105,,,1 Nugget 12ct,$18.83,
0,,,,2989 BRIAN Gst,$ 4.29,
0,,,,,,
0,1000619,,,,,19:50
0,21212,-76.61,39.3626,6 YORK RD,$ 3.35,16:25
0,,,,,,
0,,,,,,
0,,,,"3197 1631 Van Vranken Ave,",,
0,,,,,,07:09
0,,,,,,
0,901457303,,,,$6.47,
0,,,,,$12.68,12:07
0,,,,,$ 6.2,
0,,,,,,
0,,,,,,
0,,,,,,20:35
0,,,,,,
0,4023737,,,,$7,
0,100000322,,,,,
0,,,,,,
0,,,,,,
0,40299,-85.5218,38.1768,9016 Taylorsville Rd,$100,04:07 PM
0,,,,,,
0,,,,,,
0,,,,,$73.86,48:30
0,290893,,,,,52:20 PM
0,771990097,,,,$8.44,17:35AM
0,85023,-112.1118,33.6324,,$16.29,2:27 PM
0,,,,,,
0,,,,,,12:49pm
0,,,,,,8:56
0,,,,,,
0,08648,-74.7429,40.2171,51 VIBURNUM CT,,
0,125183,,,,$0.70,
0,14424,-77.2846,42.8689,,,11:00
0,,,,,,12:37
0,33141,-80.1446,25.8486,300 72th Street,,10:53 PM
0,,,,,,
0,,,,3 Draft St,,
0,,,,,,
0,43500,,,,,22:30
0,031208,,,701 NE ANDRESEN ROAD,,
0,,,,,,
0,,,,,$156.09,24:13
0,15044,-79.9443,40.6252,8 Cust:,,
0,90017,-118.2666,34.0559,900 West 7th Street,,9:33 PM
0,11431,-73.8501,40.6869,1431 South St.,,6:55
0,,,,,,
0,1600083,,,"0522 xe
i 33186410034 ST,",,08:27
0,,,,,,
0,12725,-74.5293,41.9657,,$8.00,11:33
0,47290,,,,,
0,43206,-82.9748,39.9426,,$95.74,5:52
0,,,,,,
0,,,,,,
0,02886,-71.4476,41.7026,,$7.16,8:10
0,,,,,,
0,18301,-75.1735,41.0367,,$50.00,
0,25352809,,,,,
0,03567,,,"06 AM
DRIVE",,10:07
0,016123697,,,77 Princess Street,$55,
0,90460953,,,,$45,
0,,,,1 CHK 1502 GST,,8:27
0,,,,,,
0,11683,,,,,
0,,,,,,
0,,,,"30 Vidal fi
ad Tae ist",,07:47PM
0,77070,-95.5803,29.9781,,$8,4:84
0,90124,,,,,17:90
0,,,,,$9,
0,034894712,,,,,
0,30194,,,4211 Waialae Ave,"$1,000",9:45 PM
0,90035,-118.3806,34.0531,,,07:18PM
0,,,,,,
0,,,,,,6:56
0,,,,,,
0,,,,,,
0,188067138,,,,,
0,,,,"10 ANTIQUA ST,",,
0,80571,,,1 guest,,10:24
0,110048,,,,,21:22
0,,,,,,
0,5133075,,,,,19:45
0,11365,-73.7951,40.7374,039 190TH Street,,10:27
0,,,,,,
0,,,,,,
0,27012,-80.3962,36.0341,,$5.34,2:59 PM
0,02010,,,,$201,1:33
0,44000811,,,,$80,
0,,,,,$ 20,3:16
0,24130,-79.9837,37.6165,,,11:23
0,28637-8373,,,,$6.00,03:08
0,22841,-78.8957,38.3457,,$8.50,
0,30427,-81.9483,31.9467,412 DOWNING MUSGROVE HWY,,12:26
0,075660570,,,,$99,7AM
0,,,,,,
0,,,,,,
0,,,,,,
0,20005,-77.0312,38.9067,2506 W Ferguson Rd,,11:25 AM.
0,,,,,,
0,,,,,$179.19,
0,,,,,,
0,,,,1 Chk 3079 st,,
0,,,,,,2AM
0,39747,-89.5696,33.4165,,,
0,,,,,$13.90,
0,69100,,,,,
0,,,,,,
0,63138,-90.2065,38.8033,,,13:56
0,,,,,,
0,00681612,,,,,
0,11525,,,,$9.00,11:10
0,13670-9091,,,"7326 ial
CARD",,10:22 AM
0,,,,,,
0,,,,5 being the most,,19:19
0,,,,,,
0,,,,,$20,
0,23419,-75.9269,37.3074,4141 MAIN STREET,$36.21,01:36
0,,,,,,
0,,,,,,
0,,,,,$5.00,
0,,,,,,01:23
0,,,,,$3.0,8:35
0,,,,,,
0,20007,-77.074,38.9144,,,
0,,,,,,
0,,,,4 4 oo ave.,$3,
0,,,,2 Junior Roast,,12:04
0,,,,,,
0,,,,"749 4
Card",,
0,,,,,,
0,,,,,,
0,06902,-73.5445,41.0602,21 Harbor Point Road,$9.90,12:05
0,,,,,,
0,90460953,,,,$45,
0,918266,,,,,19:32
0,,,,,,10:03
0,32561,-87.1639,30.3571,12 Via De Luna Drive,,9:58 AM
0,33781,-82.7151,27.8387,,$9.99,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,051546,,,8 State toa 64 Fast,,
0,,,,,,
0,,,,,,
0,082205,,,,,
0,,,,,$29.99,
0,00014-2477,,,,$ 4,
0,031706478,,,,,
0,,,,,$179.19,
0,32159-5702,,,,$8.73,5:42
0,,,,,$0,
0,6573338,,,1 Ox 1501 Ost,,
0,985947073,,,,,
0,,,,,,
0,14604,-77.608,43.1577,966 Park Avenue,,2:28
0,083169,,,,,
0,90460953,,,,$45,
0,,,,,$8.50,
0,,,,,,
0,,,,"59 67
CGST",,01:09 PM
0,10002,-73.9877,40.7152,,$14.24,
0,,,,,$15.20,
0,,,,20 pire St,$14,9:13
0,,,,,,
0,,,,,$6,
0,09711,,,,$7.24,5:41
0,85016,-112.0305,33.5021,,$9.24,4:24 PM
0,,,,,,
