,Zipcode,Latitude,Longitude,Address,State,County,Time,prices,Store
0,90804,-118.1357,33.7857,5305 E PACIFIC COAST HWY,California,Los Angeles,12:53,$56.58,GREEN FIELD
1,,,,,,,,,
2,378752,,,,,,,,1200 Bel
3,,,,,,,,,
4,90280,-118.2013,33.9462,8510 GARFIELD AVE.,California,Los Angeles,11:19 AM,$8.39,SOLDEN BOWL TERI
5,,,,,,,,$36.74,San Diego CA
6,,,,,,,,,Akira
7,96201,128.5833,34.7167,2816 Hewitt Ave,,,68:47,$36.00,——
8,91341,-118.439,34.2819,2 San Fernando Rd,California,Los Angeles,,$7.75,Dona Mercedes Restaurant
9,,,,,,,94:28,,so bok fort: a
10,10076,,,22 Haverhill Rd,,,12:56 PM,,Friendly Red’s
11,,,,,,,,,Ww D
12,91770,-118.0853,34.0658,8930 Mission Dr.,California,Los Angeles,04:39PM,$33,#14
13,11732,-73.5349,40.8472,,New York,Nassau,,,ALBETOS
14,15700,,,,,,,,aig Blvd
15,30328,-84.3958,33.9335,,Georgia,Fulton,6:23 pm,,"sac Springs, Georgia"
16,11040,-73.6828,40.7294,,New York,Nassau,02:14 PM,$9.95,Chef Wang
17,78521,-97.4612,25.9221,,Texas,Cameron,6:30,,UMIX
18,,,,,,,,$3.00,at 12:49 PM
19,,,,,,,8:12,,“Ut Pizeria & Tavern
20,07306,-74.066,40.7321,771 Newark Avenue,New Jersey,Hudson,10:56,,__ Deccan Spice
21,22314,-77.0529,38.806,1125 QUEEN ST,Virginia,City of Alexandria,8:53,"$
1",HAWWI ETHIOPIAN RESTAU
22,,,,,,,,,Moonstar Restaurant
23,98201,-122.2006,47.9884,2011 Hewitt Ave,Washington,Snohomish,12:36 PM,$7.00,Thai
24,14727,-78.2751,42.1882,5 Rinaldi St.,New York,Allegany,,,New Asia Buffet
25,439206,,,,,,03:08 PM,,McDonald’: 4e3-avract #3100
26,,,,,,,,,
27,96707,-158.087,21.3453,,Hawaii,Honolulu,12:46 PM,$42.75,"MATIO, MAWAII"
28,20018,-76.9762,38.9277,,District of Columbia,District of Columbia,,,S|
29,02145,-71.0929,42.3907,,Massachusetts,Middlesex,7:19,,RINCON MEXICANO
30,,,,,,,,,1 Glass House Wine
31,90254,-118.3955,33.8643,"80 Sophie
Table 501 Cust",California,Los Angeles,1:23 PM,,Ape pe cbcsobagscba ob baicbii aber rae
32,11003,-73.7049,40.6976,,New York,Nassau,20:14,,WINGS & THINGS
33,27713,-78.9178,35.9112,8030 Renaissance Parkway,North Carolina,Durham,12:25 PM,,8030 Renaissance Parkway
34,,,,,,,,,i
35,10704,-73.8593,40.9176,1084 Yonkers Avenue,New York,Westchester,,$5.50,ea a RE
36,,,,,,,,,PAPPADEAU XK
37,177437,,,,,,3:41,,Store #1291
38,12502,-73.6424,42.0851,2502 North Kendall Drive,New York,Columbia,09:28PM,$20,Micros Demo System
39,31249,,,,,,,"$
80",00'0$
40,11786,-72.8927,40.9485,1786 SW 147 AVE,New York,Suffolk,2:02,$7.99,THAI
41,,,,,,,,,i
42,07022,-74.0,40.817,,New Jersey,Bergen,07:46pm,$73.34,"TRVIEW, NJ 07022"
43,11318,,,,,,2:33 PM,,Bk sou. Fooo &
44,,,,,,,,,‘couRoH's KEN A4TIT
45,,,,,,,,,y
