,0
0,"    
  
  
  

GREEN FIELD
5305 E PACIFIC COAST HWY
Long Beach, CA 90804
(S62) 597-0906

Server: Francis Station: 4
Order #: 69923 Dine In
Table: B11 Guests: 2
1 Coffee 3.00
2 Lunch 45.90
1 Coke 3.00
SUB TOTAL: 51.90
Tax 1:

TOTAL: $56.58

5/26/2016 12:53:10 PM

INAH

THANK YOU!

 
"
1," 
"
2,"  

1200 Bel) pirag
1230 Pep idler,
wat

        

9/1/2016
Order 378752

 
 
    
   
      
  

Cashier: Dain’ f""
1 Power Veg Bow) 4.9
No Sour Crean 1.00
(0 Cheese 0.00
1 Ra oven Crsh Fz 1.99
SubTotal 6.98
Tax

 
 
  

Total 161

ol
Visa
Ace t = KXKKKKKK2076

  
  

Approval :571889

 
  
 

  

DRIVE THRY

Thank you fo

 

or visiting!

 
    

 
   

he

et

Ff fey

     

S$. | stove NO Am

 
"
3," 
"
4,"SOLDEN BOWL TERI

L -RIYAK I

a 8510 GARFIELD AVE.

SOUTH GATE, CA. 90280
TEL: (832) g28-s999

REG 0&-18-2019 11:19 AM
Manager1 MC #01 000141

ORDER#t ooOo0141

1 #1 CHKN PLATE $8.39
1 + AVOCADO $1.95
1 MD. DRINK $2.29
*KHERE:

TAX Bn
TOTAL. $15.03
ona $20. 00
CG 7S

 
"
5,"San Diego CA
(858) 488-

40.00
(2)BMOD Up
16

34.00
5.00

167.00
12,94

179.94

Balance Due 179.94

SUGGESTED TIP
BEFORE DISCOUNTS
18% =$30,06
20% =$33.40

22% =$36.74

 
"
6,"Akira

 

   
  

Philly Re

L_ Saimon R

 
"
7,"——
Katana Sushi
2816 Hewitt Ave
Everett, WA 96201
425-512-9361
HWA TM HM

Server: Michael C
05/11/18 68:47 PH

Check #93 Table D2
Hamachi Collar $12.00
Mega Poke Bowl $17.00
Hamachi - Sashimi $12.00
Maguro - Sashimi $11.00
Salmon - Sashimi $10.00
3 Sockeye Salmon - Sashimi
$36.00
Hamachi Japapeno $12.00
Salmon Collar $10.00
Escolar - Sashimi $11.00
Subtotal $131.00
Tax one Tl
Total $143.71

FRR RK KK I56%y

Thank You for your visit.
"
8,"Dona Mercedes Restaurant
1030 1/2 San Fernando Rd
San Fernando CA 91341

Vero
CENTERL

1 CHicharon $225
3 Pupusa Queso $6.75
1 Platanos Orden $7.75
1 Diet coke $1.50
2 Quesadilla salvadorena $4.00

SUBTOTAL: $22.25
TAX: $2.22

TIP SUGGESTIONS
18%: $4.40
20%: $4.89
25%: $6.12

Thank You!

 
"
9,"  

so bok fort: a

 

94:28 PN

Steak Tip Skevers
Fatty torsonzola

 

Table 21

2.99

  
"
10," 

Friendly Red’s
of Windham

22 Haverhill Rd
Windham NH
603-437-7251

Server: Giancarlo
104/1

Guests: 2

Reprint #: 1

Cadillac Margarita (2 @14.00)
Patron Silver

Maryland Crab Cakes

Chicken Caprese

Chix Parm Sandwich

Bud Light (2 @3. 70)

Subtotal
Tax

Total
Balance Due

Join us on
Facebook &

5 te

07/21/2018
12:56 PM
10076

28. 00
14.00
12.00
10. 00

7.40

71.40
6.43

77.83
ooo
"
11,"Ww D
Pulled Pork Sand

*Reg
Creamed Corn{Small]
Longhorn Mac & Cheese[sm]
Chocolate Cake[Slice]
Fountain Soda

Subtotal
CA Sales Tax

Total
Wells Fargo

Change
Thank You for Visiting

Please visit our website
www. smokecitymarket.com

Enjoy our BBQ? 'Like' us on
facebook and Yelp
Please rate us on Zagat
WW Zagat com/r/smoke-city-market-van-nuy

 
"
12,"#14

HP Pho Ga
8930 Mission Dr. #102
pp ooee 91770
Phone (626)268-9999

 
     

bate: Apr 01, 2019 Time; 05:

Server: Admin

Bill; 59980 Table : 14

1 Pho Ga (Small) 8.00

1 Pho Ga (Large) 9.00

1 Gor Cuon 5.25
“Subtotal 22.25
TAX 211
Total 24.36
8. Service Gharge- 40% 8.90

Total $33 26

Suggested Tip : 15% (3,65)

18% (4.38)

20% (4.87)
Open Time : Apr 01, 2019 04:39PM
Printed By : Admin

Thank you for Coming !
"
13,"ALBETOS
MEXICAN FOOD
11732 ARTESIA BLVD.

ARTESIA,CA.
Ph: (562) 860-2530
PHONE ORDERS WELCOME

ORDER # 01029

3 ASADA TACO
ATM CHARGE
SUBTOTAL $
TAX TOTAL $
TOTAL $
ATM $

RECALL  :696
"
14,"aig Blvd
15700 Be ower
Bellflower, CA 9070

Nathalie

2 Enchi Omelete
SHREDDED BEEF

1 Open Food
SHREDDED BEEG

1 Open Food

1 Hashbrowns Side
Hashbrowns Side
ae 2

 
"
15,"sac Springs, Georgia
30328

Ni 110-395-9592

Nice —foflant 5

ThT: 40 f :155091
Chk :202524

Shannon i) 3/10/2017 6:23 pm

Coke
Shrimp Entree
Mac n Cheese
French Fries
BBQ & Blue Chz chips
Discount :BBQ & Blue Chz
Sprite
Lobster Roll

SubTotal
State Tax

Total
Total Due :
1/2 Priced Pialors 2 te Half Shel A
m

 
"
16,"Chef Wang
1902 Jericho Tumpike
New Hyde Park NY 11040
Tel: 516 354.2858 Fax 516.776.0587

[ AS ]

# 1022

erver: 02/02/19
Person 02:14 PM - 03:

$5.25

$9.95

$8.75

Little Juicy Pork Buns
Beef w Bak Choy (LL)
Hunan Beef (1)

SubTotal
Sales Tax

Total $35.52

Thank You
Have A Nice Day

 
"
