,Zipcode,Latitude,Longitude,Address,Time,prices,Store Names
0,90804,-118.1357,33.7857,5305 E PACIFIC COAST HWY,12:53,$56.58,GREEN FIELD
1,,,,,,,
2,378752,,,,,,é rt
3,,,,,,,
4,90280,-118.2013,33.9462,8510 GARFIELD AVE.,11:19 AM,$8.39,bee
5,,,,,,$36.74,r
6,,,,,,,Akira
7,96201,128.5833,34.7167,2816 Hewitt Ave,68:47,$36.00,Sushi
8,91341,-118.439,34.2819,2 San Fernando Rd,,$7.75,Dona Mercedes Restaurant
9,,,,,94:28,,a
10,10076,,,22 Haverhill Rd,12:56 PM,,Friendly
11,,,,,,,is
12,91770,-118.0853,34.0658,8930 Mission Dr.,04:39PM,$33,HP Pho Ga
13,11732,-73.5349,40.8472,,,,ALBETOS
14,15700,,,,,,15700 Bel we
15,30328,-84.3958,33.9335,,6:23 pm,,TRADING COMPANY
16,11040,-73.6828,40.7294,,02:14 PM,$9.95,Chef Wang
17,78521,-97.4612,25.9221,,6:30,,UMIX
18,,,,,,$3.00,PM
19,,,,,8:12,,
20,07306,-74.066,40.7321,771 Newark Avenue,10:56,,Deocan Spice
21,22314,-77.0529,38.806,1125 QUEEN ST,8:53,,ETHIOPIAN RESTAU
22,,,,,,,Restaurant
23,98201,-122.2006,47.9884,2011 Hewitt Ave,12:36 PM,$7.00,Thai
24,14727,-78.2751,42.1882,5 Rinaldi St.,,,New Asia Buffet
25,439206,,,,03:08 PM,,4100
26,,,,,,,
27,96707,-158.087,21.3453,,12:46 PM,$42.75,HAWAII
28,20018,-76.9762,38.9277,,,,
29,02145,-71.0929,42.3907,,7:19,,RINCON MEXICANO
30,,,,,,,psi
31,90254,-118.3955,33.8643,"80 Sophie
Table 501 Cust",1:23 PM,,App pero soba gsc ose
32,11003,-73.7049,40.6976,,20:14,,THINGS
33,27713,-78.9178,35.9112,8030 Renaissance Parkway,12:25 PM,,Parkway
34,,,,,,,
35,10704,-73.8593,40.9176,1084 Yonkers Avenue,,$5.50,jonaut We Deliver
36,,,,,,,PAPPADEAU XK
37,177437,,,,3:41,,Store
38,12502,-73.6424,42.0851,2502 North Kendall Drive,09:28PM,$20,Micros Demo System
39,31249,,,,,,els
40,11786,-72.8927,40.9485,1786 SW 147 AVE,2:02,$7.99,THAI SUSHI s ASIAN
41,,,,,,,
42,07022,-74.0,40.817,,07:46pm,$73.34,NJ 07022
43,11318,,,,2:33 PM,,June 2019 at
44,,,,,,,offen
45,,,,,,,PAID Cash
46,17861,-77.0833,40.7725,,,,Araxi Burger Aventura
47,,,,7390 Tavertave!,,,
48,90404,-118.4733,34.0268,2501 Colorado Ave,7:30 PM,,Y
49,96707,-158.087,21.3453,"5431 Kapolei Parkway,",5:47 PM,$77.49,KICKIN KAJUN KAPOLEI
50,,,,,12:45,,HOLLYWOOD CAFE
51,07601,-74.0503,40.8882,45 MAIN STREET,12:30pm,$10.00,TAVERN
52,11001,-73.7058,40.7236,,,$94.18,Jericho
53,,,,,,,Primo
54,90404,-118.4733,34.0268,,11:47 AM,$8.85,BIG
55,,,,519 FULTON AVE.,,,y
56,19930,-75.0674,38.531,1 Queso Fundido Mexi Street,,,eae
57,90004,-118.3029,34.0762,,40:29 AM,$9.58,PARISIEN LARCHMONT LLC
58,,,,,,,
59,,,,,,,LANDFALL
60,20018,-76.9762,38.9277,1660 India Street,6:29 PM,,Street
61,17588,,,,,,Puente Hills
62,,,,,,,
63,,,,,,,
64,,,,"0 L1 12
YOUR GUEST",3:04 PM,$1,PM
65,92626,-117.9085,33.6801,3313 Hyland Ave.,,$9.35,Taco Maria
66,951888,,,,16:23,,RISTORANTE
67,18128,,,,,,
68,94706,-122.2954,37.89,1978 Solano Avenue,,$3.00,Cafe Eugene
69,22825,,,99 early bird breakfast,,$10.90,Check Jasmine G
70,,,,,2:16,$2.00,Hot Wings Things
71,11001,-73.7058,40.7236,,10:20 PM,,190 Jericho Tpke
72,90270,-118.1877,33.989,4469 SLAUSON AVE,,,BBQ
73,237624,,,,2:25,$11.93,Satay
74,,,,,,,O270
75,06518,-72.911,41.4097,2361 Whitney Ave,,,smokeBoxBBa
76,902480,,,,,,190th
77,07302,-74.0469,40.7221,103 MONTGOMERRY St,7:14,$9.00,NAANCHING
78,142750,,,,1:20 PM,$2.33,Follow us on Instagram x
79,02540,-70.6217,41.5648,56 Scranton Ave.,6:20PM,,ve
80,35201,-86.8025,33.5207,,9:25 PM,,Newark Buffet
81,,,,,,$9.97,BRASAS W RESTAURANT
82,11814,,,,07:34PM,,SURATI MART
83,042402,,,,11:24pm,,
84,27273,,,328 Washingtonstreet,,$42.00,sap0r to
85,60148,-88.016,41.8721,211 E Roosevelt Rd,4:10 PM,,Pita Pita
86,137017,,,,8:29 PM,$6,Table yi
87,,,,,,,
88,,,,,,$3.29,Net Tax
89,90024,-118.4408,34.0637,,,,PM
90,442031,,,,,$25,GUYS
91,20910,-77.0338,38.9982,930 WAYNE AVE.,8:03PM,,CITY TAS rE
92,,,,,,,Recommended Tips
93,,,,,,,JSHOWW 934
94,18911,-75.2482,40.3695,,2:01 PM,$16.23,Pokeatery
95,96797,-158.0124,21.3982,450 Ukee St,,,Bar 1 01
96,91723,-117.8843,34.086,,08:44pm,$9.95,223 Citrus Ave
97,,,,,05:38,,hk 1924
98,11501,-73.6398,40.7469,,10:54AM,$20,Syineoia Grill
99,95113,-121.8916,37.3329,25 West San Fernando St.,1:17,,Bar
100,16725,-78.6517,41.9059,6725 Stony Plain Rd,07:39,,Stony
101,22413,,,2413 BARTON ROAD,9:07,$9.50,KAZ RAMEN
102,10012,-73.9983,40.7255,204 Spring St,12:03,$3.95,ma
103,20910,-77.0338,38.9982,8012 Georgia Ave.,,$42.74,crisftield scafood
104,28731,-82.3916,35.289,,14:53,,Don Wan Mexican Restaurant
105,06114,-72.6807,41.7403,"615 Franklin Ave
Hartford,",9:41,$21.50,THE
106,07057,-74.1079,40.8536,,08:38 PM,$12.95,Lan Sheng
107,95628,-121.2611,38.6554,4323 Hazel Avenue,08:15PM,,MIKUNI
108,95677,-121.2366,38.7877,6661 stanford Ranch Rd.,,,wonge 880
109,,,,,18:38,$7.95,mild
110,94086,-122.0238,37.3764,1236 S Wolfe Rd,6:35 PM,$8.95,Chelokababi
111,,,,,,,Place Your
112,39139,,,736 OCEAN DRIVE,03:59PM,,RESTAURANT
113,14428,-77.835,43.0749,,04:18,,Buffet
114,,,,,,,
115,005625257,,,,7PM,,Rush
116,36561,-87.5815,30.281,,11:45 AM,,Villaggio Grille
117,310410,,,,,$ 158.07,JAPANESE STEAK
118,,,,,,,Tex Total Tens 3
119,196812,,,,58:01,,PUROHISE
120,11215,-73.9828,40.6669,"349 7 AVE,",12:37PM,,RED HOT II
121,41501,-82.5173,37.5161,,3:28 PM,$71.58,Heart of Portugal Restaurant
122,18539,,,,,,IGOR 33
123,70124,-90.1094,30.0071,,12:07PM,,El Gat Negr
